TEL_NO,BTH_GBN_NM,ASSEM_ADDR,HJ_NM,HG_NM,BTH_DATE,ELECT_GBN_NM,POLY_NM,REELE_GBN_NM,CMITS,MEM_TITLE,ENG_NM,SEX_GBN_NM,E_MAIL,MONA_CD,SECRETARY2,JOB_RES_NM,STAFF,HOMEPAGE,CMIT_NM,SECRETARY,ORIG_NM,UNITS
02-784-4630~2,양,의원회관 629호,高旼廷,고민정,1979-08-23,지역구,더불어민주당,초선,과학기술정보방송통신위원회,"[경력]
- 더불어민주당 제21대 국회의원 (서울 광진구을)
- (전)더불어민주당 정책위원회 상임부의장
- 제21대 국회 전반기 보건복지위원회 위원
- 제21대 예산결산특별위원회 위원 
- 더불어민주당 사회복지특별위원회 위원장

- (전)대통령비서실 대변인 
- (전)KBS 아나운서실 아나운서 

[지역사무실 고캠]
광진구 자양로28가길 23 
T: 02-455-0629 / F: 02-446-0629",KO MINJUNG,여,kominjung21@gmail.com,WCD5518S,"예한나, 노시평, 김슬기, 정혜진, 임준성",위원,"안순모, 정웅재",https://blog.naver.com/kominjung629,과학기술정보방송통신위원회,"이상엽, 이준승",서울 광진구을,제21대
02-784-5490,음,의원회관 312호,高永寅,고영인,1963-07-07,지역구,더불어민주당,초선,"보건복지위원회, 예산결산특별위원회","중대부고 졸업
고려대학교 졸업
고려대학교 정책대학원 경제학 석사
현) 더불어민주당 안산단원갑 지역위원장
현) 더불어민주당 정책위원회 상임부의장
현) 더불어민주당 경기도당 부위원장
현) 더불어민주당 사회적참사특별조사위원회 간사
현) 더불어민주당 다문화위원장
전) 신안산대학교 산업경영과 초빙교수",KO YOUNGIN,남,koyoungin312@gmail.com,4XG1439M,"조선식, 홍봉수, 서호, 김영준, 김지예",위원,"김남수, 김재권",https://blog.naver.com/kyi4853,"보건복지위원회, 예산결산특별위원회","배은혜, 윤도희",경기 안산시단원구갑,제21대
02-784-4840,음,의원회관 816호,高榕진,고용진,1964-08-06,지역구,더불어민주당,재선,기획재정위원회,"현) 제21대 국회의원 / 더불어민주당 노원갑 지역위원장
현) 국회 기획재정위원회 위원
현) 더불어민주당 예산결산위원장

전) 제20대 국회의원 
전) 더불어민주당 수석대변인
전) 더불어민주당 원내부대표
전) 더불어민주당 정책위원회 제3정조위원장
전) 한국아동인구환경의원연맹(CPE) 회원
전) 더불어민주당 정보통신특별위원회 위원장
전) 더불어민주당 정책위원회 부의장
전) 국회 과학기술정보방송통신위원회 위원
전) 국회 평창동계올림픽 및 국제경기대회지원특위 위원
전) 더불어민주당 공정언론특별위원회 위원
전) 더불어민주당 오직민생특별위원회 사교육대책TF 위원

- 1964년생
- 종암초&middot;대광중&middot;대광고 졸업
- 서울대학교 언론정보학과 및 동 대학원 석사 졸업
- 재선 서울시의회 의원(제4&middot;5대)
- 노무현정부 청와대 행정관 
- 환경공단 기획관리이사
- 민주당 대표실 부실장
",KOH YONGJIN,남,gogoyongjin@naver.com,6V37131U,"김진환, 최승환, 권예린, 안상진, 정시온",위원,"여경훈, 홍진옥",http://blog.naver.com/kohyj64,기획재정위원회,"김하동, 이은주",서울 노원구갑,"제20대, 제21대"
02-784-3190,음,의원회관 408호,具滋根,구자근,1967-10-09,지역구,국민의힘,초선,산업통상자원중소벤처기업위원회,"1967년 10월 9일생 
동국대학교 법과대학 졸업 (법학과 석사) 

[경력] 
2021.06 ~ 국민의힘 반도체 특별위원회 위원
2021.05 ~ 국민의힘 원내부대표
2020.11 ~ 2021.06 국민의힘 정책위원회 제2정조위원회 부위원장
2020.10 ~ 국민의힘 약자와의 동행위원회 정책동행분과 위원
2020.09 ~ 국민의힘 국민통합위원회 김제시 호남동행국회의원
2020.07 ~ 국민의힘 정책위원회 소상공인 살리기 특별위원회 위원
2020.05 ~ 제21대 국회 전반기 산업통상자원중소벤처기업위원회 위원
2020.05 ~ 제21대 국회의원 (경북 구미시갑/국민의힘)
2019.06 ~ 2020.05 미래통합당 중앙위원회 지방자치분과 수석부위원장
2018.10 ~ 2019.09 여의도연구원 정책자문위원
2016.06 ~ 2020.04 ㈜태웅 CEO 
2015.02 ~ 2020.04 한국도덕운동경북협회 회장 
2014.07 ~ 2016.01 제10대 경상북도의회 의원
2010.07 ~ 2014.06 제9대 경상북도의회 의원
2006.07 ~ 2010.03 제5대 구미시의회 의원 ",KU JAKEUN,남,can929292@naver.com,7469929V,"장철진, 문영수, 변자경, 김재영",위원,"정연철, 허대윤",http://blog.naver.com/can929292,산업통상자원중소벤처기업위원회,"정준용, 정한빈",경북 구미시갑,제21대
"02-784-5705, 지역 052-201-7676",양,의원회관 618호,權明浩,권명호,1961-01-10,지역구,국민의힘,초선,산업통상자원중소벤처기업위원회,"[ 학 력 ]
- 방어진초등학교 졸업
- 방어진중학교 졸업
- 학성고등학교 졸업
- 울산대학교(전공:영어영문학과)졸업
- 울산대학교 정책대학원(전공:공공정책전공)졸업

[ 약 력 ]
- 21대 국회의원(울산 동구 / 국민의힘) 
- 現 산업통상자원중소벤처기업위원회 위원
- 現 국민의힘 원내부대표
- 現 국민의힘 중소기업위원회 부위원장
- 現 국민의힘 약자와의 동행 위원회 정책동행분과 
      위원                                  
- 現 국민의힘 소상공인 살리기 특별위원회 위원
- 前 제7대 울산 동구청장
- 前 울산광역시의회 부의장
- 前 울산광역시 동구의회 의장
",KWON MYUNGHO,남,kmh330575@naver.com,E9R4507P,"신승구, 신옥형, 이재웅, 정규민, 허진영",위원,"고광철, 배상원",http://blog.naver.com/kmh330575,산업통상자원중소벤처기업위원회,"맹일훈, 원종용",울산 동구,제21대
02-784-3396~8 / 788-2469,음,의원회관 820호,權性東,권성동,1960-04-29,지역구,국민의힘,4선,"과학기술정보방송통신위원회, 국회운영위원회, 정보위원회","1979.02  강릉명륜고등학교 졸업
1984.02  중앙대학교 법학과 졸업
1986.02  중앙대학교 대학원 (사법전공) 수료
1985.11  제 27회 사법시험 합격
1988.02  사법연수원 제 17기 수료
1991.02  해군법무관 전역
1991.03  수원지방검찰청 검사
1993.09  춘천지방검찰청 강릉지청 검사
1994.03  서울중앙지방검찰청 검사(특수)
1996.08  법무부 인권과 검사
1999.03  서울동부지방검찰청 검사 ？ 부부장검사
2000.08  광주지방검찰청 장흥지청장
2001.06  서울지방검찰청 부부장검사
2002.08  광주지방검찰청 조사부장, 형사 제3부장검사
2003.08  서울중앙지검 부부장 검사
2004.08  대검찰청 범죄정보 제2담당관
2005.04  인천지방검찰청 특별수사부 부장검사
2006.02  광주고등검찰청 검사
2006.04  의원면직 (법무법인 서정 구성원변호사)
2007.04  강릉시 종합자원봉사센터 운영위원
2007.06  한나라당 대통령후보 경선 국민검증위원회 실무위원
2007.09  2007 선진국민 강원연대  상임대표
2007.11  한나라당 클린정치위원회 법률지원단 팀장
2008.12  제17대 대통령직인수인위원회 법무행정분과 상근자문위원       
2008.07  대통령실 법무비서관
2009.10  제18대 국회의원
2010~   지식경제위원회 위원
             한나라당 원내부대표 
             예산결산특별위원회 위원
             강원도당위원장
2012.05  제19대 국회의원
            새누리당 정책위 부의장
            법제사법위원회 간사
            예산결산특별위원회 위원
            국회쇄신특별위원회 위원
            평창동계올림픽 및 국제경기대회지원 특별위원회 위원
2014.06  환경노동위원회 간사
2015.07  새누리당 전략기획본부장
",KWEON SEONGDONG,남,ksdd22@naver.com,GDG1847Z,"박우진, 신윤정, 김윤재, 김근희, 장영호",위원,"나연준, 최영철",http://www.ksdd.net,"과학기술정보방송통신위원회, 국회운영위원회, 정보위원회","김대식, 윤희진",강원 강릉시,"제18대, 제19대, 제20대, 제21대"
02-784-3103,양,의원회관 450호,權寧世,권영세,1959-02-24,지역구,국민의힘,4선,국토교통위원회,"전)주중대사
전)국회 정보위원장
전)한나라당 최고위원,사무총장
전)새누리당 사무총장,서울시당위원장 

서울대학교 법학과 및 동 대학원 졸업(법학석사)
미 하버드 케네디스쿨 졸업(행정학석사)",KWON YOUNGSE,남,yskys2020@naver.com,LG63087O,"김용종, 이수지, 박준영, 김동현",위원,"김동민, 임준홍",https://blog.naver.com/yskys2020,국토교통위원회,"김세라, 이효진",서울 용산구,"제16대, 제17대, 제18대, 제21대"
02-784-1813,음,의원회관 904호,權垠希,권은희,1974-02-15,비례대표,국민의힘,3선,교육위원회," 1993년 조선대 부속여고 졸업
 1997년 전남대 사법학과 졸업
 연세대 대학원 법학 석사 졸업
 
 2001년 사법고시 합격(43회)
 2004년 사법연수원 수료(33기)
 2004년 권은희 법률사무소 개업
 2005년 경찰청 경정 특채 합격
 2005년 용인경찰서 수사과장
 2006년 경찰청 법무과 근무(경정)
 2007년 서초경찰서 수사과장, 수서경찰서 수사과장
 2013년 송파경찰서 수사과장
 2014년 관악경찰서 여성청소년과장

 (전) 국회 국민안전혁신특위 위원
 (전) 19대 국회의원 광주 광산(을)
 (전) 국회 국방위원회 위원&middot;간사  
 (전) 국회 운영위원회 위원
 (전) 새정치민주연합 원내 법률부대표
 (전) 새정치민주연합 원내대표 비서실장
 (전) 국민의당 비상대책위원회 위원
 (전) 국민의당 정책위원회 수석부의장
 (전) 국민의당 제1정책조정위원장
 (전) 안전행정위원회 간사  
 (전) 국민의당 원내수석부대표
 (전) 국민의당 광주광역시당 위원장 
 (전) 20대 국회의원 광주 광산(을)
 (전) 운영위원회 간사
 (전) 바른미래당 광주광역시당위원장
 (전) 바른미래당 최고위원
 (전) 바른미래당 정책위의장
 (전) 행정안전위원회 법안심사소위원회 위원장 
 (전) 예산결산특별위원회 위원&middot;간사 
 (전) 사법개혁특별위원회 위원&middot;간사  
 (전) 행정안전위원회 간사
 (전) 행정안전위원회 제천화재관련평가소위원회 위원장 
 (전) 국민의당 창당준비위원회 부위원장 
 (전) 국민의당 최고위원
 (전) 국민의당 원내대표 

 (현) 21대 국회의원 (국민의힘, 비례대표, 3선) ",KWON EUNHEE,여,kwoneunhee0215@gmail.com,YKW37422,"김단아, 고선주, 문형일",위원,"박상윤, 유리안",http://keh.kr,교육위원회,"김주연, 남보라",비례대표,"제19대, 제20대, 제21대"
02-784-9241,음,의원회관 317호,權仁淑,권인숙,1964-08-28,비례대표,더불어민주당,초선,"법제사법위원회, 여성가족위원회","□ 現
제21대 국회의원 (비례대표/더불어민주당) 
제21대 국회 여성가족위원회 위원장 (2022.7~ )
제21대 국회 법제사법위원회 위원 (2022.7~ )
국회 여성아동인권포럼 대표 (2020.6 ~ 현재)


□ 前
제21대 국회 전반기 여성가족위원회 간사 (2020.6 ~ 2022.6)
제21대 국회 교육위원회 위원 (2020.6 ~ 2022.6)
더불어민주당 정책위원회 제7정책조정위원장 (2022.3 ~ 2022.8)
더불어민주당 서울시 광역의원 비례대표후보자추천관리위원회위원장 (2022.3 ~ 2022.6) 
더불어민주당 윤리심판원 위원 (2020.10. ~ 2021.1)
더불어민주당 젠더폭력신고상담센터장 (2021.6 ~ 2021.11)
더불어민주당 인권위원회 위원장 (2020.9 ~ 2021.6)
민주연구원 부원장 (2020.9 ~ 2021.6)
한국여성정책연구원 원장 (2017.9 ~ 2020.3)
명지대학교 방목기초교육대학 교수 (2003.9 ~ 2020.5)",KWON INSOOK,여,iskwon317@naver.com,3TO11703,"김경, 전동명, 국서림, 조성윤, 박지수, 김종훈",위원,"이보라, 황윤정",https://blog.naver.com/iskwon317,"법제사법위원회, 여성가족위원회","이경민, 한지성",비례대표,제21대
02-784-1250,음,의원회관 325호,權七勝,권칠승,1965-11-18,지역구,더불어민주당,재선,"법제사법위원회, 예산결산특별위원회, 대법관(오석준) 임명동의에 관한 인사청문특별위원회","1988년 삼성그룹 (공채28기)
1997년 김대중 대통령후보 대선기획단
1998년 민주당 중앙당 사무처 당직자
2004년 노무현 대통령비서실 행정관
2009년 국회의원 보좌관
2010년 민주당 중앙당 상근부대변인 
2010년 제8대 경기도의회 의원
2013년 경기도의회 예산결산특별위원장
2014년 제9대 경기도의회 의원
2017년 더불어민주당 정책위원회 부의장
2018년 더불어민주당 원내부대표
2018년 더불어민주당 홍보소통위원장
2020년 더불어민주당 수석사무부총장",KWON CHILSEUNG,남,anotherk7@gmail.com,C7E79345,"신전학, 이우연, 이원준, 김나경, 윤현진",위원,"김도근, 이상헌",http://blog.naver.com/k7wins,"법제사법위원회, 예산결산특별위원회, 대법관(오석준) 임명동의에 관한 인사청문특별위원회","이소영, 조대희",경기 화성시병,"제20대, 제21대"
02-784-3181,음,의원회관 922호,奇東旻,기동민,1966-02-23,지역구,더불어민주당,재선,법제사법위원회,"-국회 보건복지위원회 위원(현)
-국회 남북관계개선특별위원회 위원(현)
-더불어민주당 정책위원회 부의장(현)
-더불어민주당 의원 정치행동그룹 더좋은미래
 운영간사(현)

-김대중 대통령 비서실 정무수석비서관실 보좌관
-김근태 보건복지부장관 정책보좌관
-국회 정책연구위원(2급)
-박원순 서울시장후보 비서실장
-서울특별시 정무수석비서관
-서울특별시 정무부시장
-성균관대학교 초빙교수
-더불어민주당 원내대변인
-국회 운영위원회 위원
-문재인 후보 수행실장 

-광주 인성고 졸업
-성균관대학교 신문방송학과 졸업
-성균관대학교 언론정보대학원 졸업(언론학 석사)
-육군병장 만기제대
-성균관대학교 총학생회장",KI DONGMIN,남,gidongmin@naver.com,B7R2742J,"이유정, 송현직, 윤하은, 박규태, 이선아",간사,"김형식, 이지백",http://blog.naver.com/gidongmin,법제사법위원회,"김두현, 문옥주",서울 성북구을,"제20대, 제21대"
02-784-9820,음,의원회관 611호,金京萬,김경만,1962-09-23,비례대표,더불어민주당,초선,"민생경제안정특별위원회, 산업통상자원중소벤처기업위원회","광주 사레지오 고등학교 졸업
한국외국어대학교 영어학과 졸업

■ 現
더불어민주당 중소기업특별위원회 위원장
더불어민주당 을지로위원회 위원
더불어민주당 반도체기술특별위원회 위원

■ 前
중소기업중앙회 경제정책본부장
국세청 국세행정개혁위원회 소통과혁신분과 위원장
",KIM KYUNGMAN,남,2020kkman@gmail.com,1BX7234U,"김채영, 이병률, 구예지, 방인범, 류청은",위원,"오기철, 이은지",,"민생경제안정특별위원회, 산업통상자원중소벤처기업위원회","권승, 홍태식",비례대표,제21대
