음/양력,한자명,이름,생년월일,선거구구분,재선,정당명,영문명칭,대별코드,성별,대,국회의원코드,당선,선거구
음,金長烈,김장열,1898-05-24,지역구,초선,무소속,,100001,남,제헌,4244350V,제헌,전남 완도
음,金載學,김재학,1878-03-24,지역구,초선,한국민주당,,100001,남,제헌,X898412T,제헌,경남 통영갑
음,金鍾文,김종문,1907-03-11,지역구,초선,한국민주당,,100001,남,제헌,MBS7653Q,제헌,전북 정읍을
음,金鍾善,김종선,1900-10-12,지역구,초선,한국민주당,,100001,남,제헌,A2O2132V,제헌,전남 구례
음,金俊淵,김준연,1895-03-14,지역구,5선,한국민주당,,100001,남,제헌,B7963485,"제헌, 제3대, 제4대, 제5대, 제6대",전남 영암
음,金仲基,김중기,1901-00-00,지역구,초선,무소속,,100001,남,제헌,1038937L,제헌,전남 장흥
음,金振九,김진구,1906-07-29,지역구,재선,대한독립촉성국민회,,100001,남,제헌,IPD2759Q,"제헌, 제5대",강원 삼척
음,金喆,김철,1896-09-06,지역구,재선,대한독립촉성국민회,,100001,남,제헌,QW04133V,"제헌, 제3대",경북 경주갑
음,金철洙,김철수,1896-12-02,지역구,초선,대한독립촉성국민회,,100001,남,제헌,94P92684,제헌,충남 부여을 
음,金泰洙,김태수,1905-01-29,지역구,초선,대한독립촉성국민회,,100001,남,제헌,8OJ3727G,제헌,경남 창원갑
음,金孝錫,김효석,1994-00-00,지역구,초선,대한독립촉성국민회,,100001,남,제헌,27P1869Q,제헌,경남 합천을
음,羅容均,나용균,1895-11-25,지역구,4선,한국민주당,,100001,남,제헌,1C747415,"제헌, 제4대, 제5대, 제6대",전북 정읍갑
음,南宮炫,남궁현,1912-02-24,지역구,초선,대한독립촉성국민회,,100001,남,제헌,8UK6500D,제헌,충남 부여갑
음,盧鎰煥,노일환,1914-04-03,지역구,초선,한국민주당,,100001,남,제헌,K5R42761,제헌,전북 순창
음,文時煥,문시환,1899-08-12,지역구,초선,조선민족청년단,,100001,남,제헌,ZQS5105N,제헌,경남 부산갑
음,閔庚植,민경식,1920-12-13,지역구,초선,대한독립촉성국민회,,100001,남,제헌,XG989909,제헌,경기 용인
음,朴己云,박기운,1912-10-03,지역구,3선,무소속,,100001,남,제헌,UC77337T,"제헌, 제3대, 제5대",충북 청주
음,朴湘永,박상영,1917-05-13,지역구,초선,한국민주당,,100001,남,제헌,LLN4144A,제헌,경북 예천
음,朴順碩,박순석,1904-02-18,지역구,3선,무소속,,100001,남,제헌,4J092952,"제헌, 제3대, 제4대",경북 영일갑
음,朴愚京,박우경,1894-07-04,지역구,초선,무소속,,100001,남,제헌,FB325823,제헌,충북 영동
음,朴允源,박윤원,1908-00-00,지역구,초선,무소속,,100001,남,제헌,F5J8557E,제헌,경남 남해
음,朴鍾南,박종남,1915-07-27,지역구,초선,무소속,,100001,남,제헌,UEL8051S,제헌,전남 광산
음,朴鍾煥,박종환,1909-01-17,지역구,초선,대한독립촉성국민회,,100001,남,제헌,IXD6351Y,제헌,경북 청도
음,朴峻,박준,1905-06-07,지역구,초선,무소속,,100001,남,제헌,P818288Z,제헌,경북 군위
음,朴瓚鉉,박찬현,1917-09-23,지역구,4선,무소속,,100001,남,제헌,WNK5943X,"제헌, 제4대, 제5대, 제9대",경남 부산정
음,朴海克,박해극,1882-02-14,지역구,초선,무소속,,100001,남,제헌,MTR5392Y,제헌,경남 밀양을
음,朴海楨,박해정,1916-07-21,지역구,4선,무소속,,100001,남,제헌,0KQ3355X,"제헌, 제3대, 제4대, 제5대",경북 경산
음,裵重赫,배중혁,1921-02-10,지역구,초선,대동청년당,,100001,남,제헌,TPN6918O,제헌,경북 봉화
음,裵憲,배헌,1896-04-27,지역구,초선,무소속,,100001,남,제헌,3GB9329B,제헌,전북 이리
음,白寬洙,백관수,1889-01-28,지역구,초선,한국민주당,,100001,남,제헌,PW120859,제헌,전북 고창을
음,白南埰,백남채,1886-01-01,지역구,초선,한국민주당,,100001,남,제헌,68D7710B,제헌,경북 대구병
음,白亨南,백형남,1915-11-03,지역구,초선,대동청년당,,100001,남,제헌,Y8655773,제헌,전북 익산갑
음,徐相日,서상일,1885-07-09,지역구,재선,한국민주당,,100001,남,제헌,X4G3550I,"제헌, 제5대",경북 대구을
음,徐成達,서성달,1892-12-07,지역구,초선,대한독립촉성국민회,,100001,남,제헌,RDA3916Z,제헌,경기 고양갑
음,徐淳永,서순영,1900-06-17,지역구,초선,무소속,,100001,남,제헌,SGS8180L,제헌,경남 통영을
음,徐容吉,서용길,1912-08-06,지역구,초선,무소속,,100001,남,제헌,L4F6267A,제헌,충남 아산
음,徐禹錫,서우석,1889-11-03,지역구,초선,한국민주당,,100001,남,제헌,D0A1777A,제헌,전남 곡성
음,徐二煥,서이환,1895-07-05,지역구,재선,무소속,,100001,남,제헌,W8O5974N,"제헌, 제2대",경북 울릉
음,徐廷禧,서정희,1877-10-10,지역구,초선,한국민주당,,100001,남,제헌,61W2795L,제헌,경기 포천
음,成樂緖,성낙서,1905-06-23,지역구,초선,대한독립촉성국민회,,100001,남,제헌,J5W7663N,제헌,충남 대전
음,孫在學,손재학,1901-12-28,지역구,초선,대한독립촉성국민회,,100001,남,제헌,CIO9510I,제헌,충남 홍성
음,宋鳳海,송봉해,1889-12-18,지역구,초선,대한독립촉성국민회,,100001,남,제헌,IC95386J,제헌,전남 해남갑
음,宋鎭百,송진백,1905-10-03,지역구,초선,대한독립촉성국민회,,100001,남,제헌,JT34368K,제헌,충남 대덕
음,宋昌植,송창식,1900-07-04,지역구,초선,대한독립촉성국민회,,100001,남,제헌,M6B2431M,제헌,경기 이천
음,宋必滿,송필만,1890-10-19,지역구,재선,한국민주당,,100001,남,제헌,M457535F,"제헌, 제5대",충북 진천
음,申光均,신광균,1896-03-28,지역구,재선,대한독립촉성국민회,,100001,남,제헌,MT48752N,"제헌, 제2대",경기 개풍
음,申邦鉉,신방현,1892-02-28,지역구,초선,무소속,,100001,남,제헌,OCQ1735D,제헌,충남 공주을
음,辛相學,신상학,1913-02-23,지역구,초선,무소속,,100001,남,제헌,MOI3885T,제헌,경남 김해갑
음,申性均,신성균,1907-06-08,지역구,초선,무소속,,100001,남,제헌,DUB2847E,제헌,전북 전주
음,申翼熙,신익희,1894-06-09,지역구,3선,대한독립촉성국민회,,100001,남,제헌,EWG10700,"제헌, 제2대, 제3대",전남 광주
음,申鉉燉,신현돈,1904-04-09,지역구,재선,대한독립촉성국민회,,100001,남,제헌,FRL5031A,"제헌, 제5대",전북 무주
음,申鉉模,신현모,1894-01-08,지역구,초선,한국민주당,,100001,남,제헌,8F74681A,제헌,황해도 연백을
음,安駿相,안준상,1898-01-09,지역구,초선,조선민족청년단,,100001,남,제헌,RQT2434U,제헌,경남 의령
음,梁秉直,양병직,1906-11-08,지역구,초선,대동청년당,,100001,남,제헌,CHU7723J,제헌,제주 북제주을
음,延秉昊,연병호,1904-11-22,지역구,재선,무소속,,100001,남,제헌,WBD1789R,"제헌, 제2대",충북 괴산
음,吳基烈,오기열,1889-03-09,지역구,초선,무소속,,100001,남,제헌,L6C9595I,제헌,전북 진안
음,吳錫柱,오석주,1888-12-10,지역구,초선,대한독립촉성국민회,,100001,남,제헌,IM97349U,제헌,전남 고흥갑
음,吳龍國,오용국,1905-10-28,지역구,초선,무소속,,100001,남,제헌,B841723D,제헌,제주 남제주
음,吳澤寬,오택관,1888-04-20,지역구,초선,한국독립당,,100001,남,제헌,5JZ33241,제헌,경기 옹진갑
음,吳宅烈,오택열,1898-03-06,지역구,초선,대한독립촉성국민회,,100001,남,제헌,K374753S,제헌,경북 영덕
음,元容均,원용균,1892-12-24,지역구,초선,대한독립촉성국민회,,100001,남,제헌,QPC91602,제헌,강원 횡성
음,元容漢,원용한,1877-04-26,지역구,초선,대동청년당,,100001,남,제헌,J2M9791M,제헌,경기 여주
음,元長吉,원장길,1901-12-02,지역구,초선,대동청년당,,100001,남,제헌,7Q415979,제헌,강원 강릉갑
음,柳來琬,유래완,1889-05-12,지역구,초선,무소속,,100001,남,제헌,SG236255,제헌,경기 양평
음,柳聖甲,유성갑,1910-11-11,지역구,초선,단민당,,100001,남,제헌,7KU80352,제헌,전남 고흥을
음,柳俊相,유준상,1910-04-19,지역구,초선,대한독립촉성국민회,,100001,남,제헌,L9J2509Z,제헌,전북 완주갑
음,兪鎭洪,유진홍,1890-12-10,지역구,초선,대한독립촉성국민회,,100001,남,제헌,5WD24093,제헌,충남 논산갑
음,柳鴻烈,유홍열,1907-02-02,지역구,초선,무소속,,100001,남,제헌,D1X9690Y,제헌,충북 제천
음,陸洪均,육홍균,1900-06-01,지역구,재선,대한독립촉성국민회,,100001,남,제헌,MQQ9037E,"제헌, 제2대",경북 선산
음,尹炳求,윤병구,1911-09-15,지역구,재선,무소속,,100001,남,제헌,N618979E,"제헌, 제4대",충남 예산
음,尹錫龜,윤석구,1892-03-15,지역구,초선,무소속,,100001,남,제헌,EW13604F,제헌,전북 군산
음,尹在根,윤재근,1910-12-26,지역구,4선,무소속,,100001,남,제헌,5PO5280B,"제헌, 제2대, 제4대, 제5대",경기 강화
음,尹在旭,윤재욱,1910-08-25,지역구,재선,대동청년당,,100001,남,제헌,K5961516,"제헌, 제3대",서울 영등포구
음,尹致暎,윤치영,1898-02-10,지역구,4선,한국민주당,,100001,남,제헌,41C1267K,"제헌, 제2대, 제3대, 제7대",서울 중구
음,李康雨,이강우,1889-01-10,지역구,초선,무소속,,100001,남,제헌,MJL1287O,제헌,경남 진주
음,二龜洙,이귀수,1912-00-00,지역구,초선,무소속,,100001,남,제헌,LU08466W,제헌,경남 고성
음,李南圭,이남규,1901-02-29,지역구,재선,대한독립촉성국민회,,100001,남,제헌,L1K2418O,"제헌, 제5대",전남 목포
음,李萬根,이만근,1913-01-11,지역구,초선,무소속,,100001,남,제헌,P3E4403V,제헌,충북 청원을
음,李文源,이문원,1907-08-10,지역구,초선,무소속,,100001,남,제헌,BRK2070T,제헌,전북 익산을
음,李範敎,이범교,1888-07-27,지역구,초선,대한독립촉성국민회,,100001,남,제헌,UIO8021S,제헌,경북 영천을
음,李炳瓘,이병관,1908-02-20,지역구,초선,무소속,,100001,남,제헌,N848193Y,제헌,경북 김천을
음,李炳國,이병국,1882-09-15,지역구,초선,대한독립촉성국민회,,100001,남,제헌,T2D85501,제헌,충남 천안
음,李相敦,이상돈,1912-03-20,지역구,3선,민주국민당,,100001,남,제헌,ZNS6961Q,"제헌, 제5대, 제6대",충남 천안
음,李錫,이석,1907-03-17,지역구,초선,대한독립촉성국민회,,100001,남,제헌,6683015R,제헌,경북 경주을
음,李錫柱,이석주,1904-01-28,지역구,초선,대한독립촉성농민총연맹,,100001,남,제헌,6511987K,제헌,전북 완주을
음,李聖得,이성득,1899-05-05,지역구,초선,무소속,,100001,남,제헌,81X3635Z,제헌,경기 개성
음,李成佑,이성우,1996-00-00,지역구,초선,무소속,,100001,남,제헌,OLX9518I,제헌,전남 함평
음,李聖學,이성학,1906-10-14,지역구,초선,대동청년당,,100001,남,제헌,45W41878,제헌,전남 해남을
음,李承晩,이승만,1875-03-26,지역구,초선,대한독립촉성국민회,,100001,남,제헌,T8575367,제헌,서울 동대문구갑
음,李榮俊,이영준,1896-09-17,지역구,4선,한국민주당,,100001,남,제헌,S326239W,"제헌, 제4대, 제5대, 제6대",서울 동대문구을
음,李要漢,이요한,1899-03-10,지역구,초선,대한독립촉성국민회,,100001,남,제헌,O673574F,제헌,전북 옥구
음,李原弘,이원홍,1903-03-09,지역구,재선,대한독립촉성국민회,,100001,남,제헌,6O61738R,"제헌, 제6대",경남 합천갑
음,李裕善,이유선,1903-11-14,지역구,초선,대한독립촉성국민회,,100001,남,제헌,X7R17247,제헌,경기 부천
음,李允榮,이윤영,1890-10-02,지역구,초선,조선민주당,,100001,남,제헌,DQ470249,제헌,서울 종로구갑
음,李宜相,이의상,1889-09-25,지역구,초선,대한독립촉성국민회,,100001,남,제헌,BRN6185C,제헌,충북 음성
음,李仁,이인,1896-09-20,지역구,3선,무소속,,100001,남,제헌,M0587960,"제헌, 제3대, 제5대",서울 종로구을
음,李在鶴,이재학,1904-05-31,지역구,5선,무소속,,100001,남,제헌,VLY2436D,"제헌, 제2대, 제3대, 제4대, 제5대",강원 홍천
음,李載灐,이재형,1914-11-07,지역구,7선,무소속,"Lee, Chai-hyung",100001,남,제헌,QCI6988T,"제헌, 제2대, 제4대, 제5대, 제7대, 제11대, 제12대",경기 시흥
음,李정器,이정기,1915-12-28,지역구,초선,조선민족청년단,,100001,남,제헌,OZ45622W,제헌,전북 남원
음,李晶來,이정래,1899-05-07,지역구,3선,한국민주당,,100001,남,제헌,1C853454,"제헌, 제5대, 제6대",전남 보성
음,李鍾根,이종근,1907-08-27,지역구,초선,대한독립촉성국민회,,100001,남,제헌,LHY4158Z,제헌,충남 청양
음,李鍾麟,이종린,1883-02-11,지역구,재선,무소속,,100001,남,제헌,T4Z35182,"제헌, 제2대",충남 서산갑
음,李鍾淳,이종순,1891-11-14,지역구,초선,대한독립촉성국민회,,100001,남,제헌,59M1715Y,제헌,강원 춘성
음,李周衡,이주형,1906-01-06,지역구,초선,대한독립촉성국민회,,100001,남,제헌,BVQ11586,제헌,경남 밀양갑
음,李鎭洙,이진수,1900-08-07,지역구,재선,무소속,,100001,남,제헌,AOJ3881P,"제헌, 제2대",경기 양주을
음,李恒發,이항발,1891-11-25,지역구,초선,무소속,,100001,남,제헌,9MB20141,제헌,전남 나주갑
음,李浩錫,이호석,1901-11-12,지역구,초선,무소속,,100001,남,제헌,KHG2024B,제헌,경북 성주
음,李勳求,이훈구,1906-06-06,지역구,재선,무소속,,100001,남,제헌,ORK7895K,"제헌, 제5대",충남 서천
음,林奭奎,임석규,1907-02-06,지역구,초선,대동청년당,,100001,남,제헌,L263650M,제헌,충남 보령
음,任永信,임영신,1899-11-20,지역구,재선,대한여자국민당,,100001,여,제헌,OU64454T,"제헌, 제2대",경북 안동을
음,張基永,장기영,1903-10-20,지역구,초선,무소속,,100001,남,제헌,61E9214A,제헌,강원 영월
음,張勉,장면,1899-08-28,지역구,재선,무소속,,100001,남,제헌,TFG44176,"제헌, 제5대",서울 종로구을
음,張炳晩,장병만,1900-07-17,지역구,초선,대한독립촉성국민회,,100001,남,제헌,Y7G8605F,제헌,경북 칠곡
음,長洪琰,장홍염,1910-11-25,지역구,재선,한국민주당,,100001,남,제헌,VA38370E,"제헌, 제2대",전남 무안을
음,錢鎭漢,전진한,1901-11-05,지역구,5선,대한노동총연맹,,100001,남,제헌,WGG9113S,"제헌, 제2대, 제3대, 제5대, 제6대",경북 상주을
음,鄭光好,정광호,1895-08-22,지역구,초선,한국민주당,,100001,남,제헌,9W07513N,제헌,전남 광주
음,鄭求參,정구삼,1893-12-03,지역구,초선,대한독립촉성국민회,,100001,남,제헌,Z8W9187M,제헌,충북 옥천
음,鄭均植,정균식,1904-05-13,지역구,초선,조선민족청년단,,100001,남,제헌,ZLF2879Y,제헌,전남 담양
음,鄭島榮,정도영,1901-09-16,지역구,초선,대한독립촉성국민회,,100001,남,제헌,UPE7464B,제헌,경북 영천갑
음,丁又一,정우일,1898-03-19,지역구,초선,무소속,,100001,남,제헌,T2K6551X,제헌,경북 의성갑
음,鄭濬,정준,1915-02-13,지역구,4선,무소속,,100001,남,제헌,9G19731F,"제헌, 제3대, 제4대, 제5대",경기 김포
음,鄭鎭瑾,정진근,1907-09-29,지역구,초선,무소속,,100001,남,제헌,W5A50056,제헌,경남 양산
음,鄭海駿,정해준,1903-12-17,지역구,초선,대한독립촉성국민회,,100001,남,제헌,PFD3040H,제헌,충남 금산
음,鄭顯模,정현모,1993-00-00,지역구,초선,무소속,,100001,남,제헌,MMU4834V,제헌,경북 안동을
음,曺國鉉,조국현,1895-06-11,지역구,재선,,,100001,남,제헌,PW72101R,"제헌, 제5대",전남 화순
음,曺奎甲,조규갑,1904-03-27,지역구,초선,무소속,,100001,남,제헌,8HP11298,제헌,경남 김해을
음,趙炳漢,조병한,1902-11-10,지역구,초선,무소속,,100001,남,제헌,BR62675S,제헌,경북 문경
음,曺奉岩,조봉암,1899-09-25,지역구,재선,무소속,,100001,남,제헌,SE215159,"제헌, 제2대",경기 인천을
음,曺泳珪,조영규,1913-10-07,지역구,4선,한국민주당,,100001,남,제헌,OI72712W,"제헌, 제3대, 제4대, 제5대",전남 영광
음,趙玉鉉,조옥현,1903-05-01,지역구,초선,대한독립촉성국민회,,100001,남,제헌,KXV7183C,제헌,전남 순천을
음,趙在勉,조재면,1900-10-29,지역구,초선,대한독립촉성국민회,,100001,남,제헌,68O6944E,제헌,전북 부안
음,趙鍾勝,조종승,1903-05-03,지역구,재선,무소속,,100001,남,제헌,A0J46751,"제헌, 제2대",충북 단양
음,趙重顯,조중현,1895-03-01,지역구,초선,무소속,,100001,남,제헌,7T511853,제헌,경기 장단
음,趙漢栢,조한백,1908-02-28,지역구,4선,무소속,,100001,남,제헌,3I17114K,"제헌, 제4대, 제5대, 제7대",전북 김제갑
음,趙憲泳,조헌영,1901-01-08,지역구,재선,한국민주당,,100001,남,제헌,Y6N86498,"제헌, 제2대",경북 영양
음,朱基鎔,주기용,1897-03-12,지역구,초선,무소속,,100001,남,제헌,6YS2035R,제헌,경남 창원을
음,池靑天,지청천,1910-11-29,지역구,재선,대동청년당,,100001,남,제헌,06B3741H,"제헌, 제2대",서울 성동구
음,晋直鉉,진직현,1901-03-29,지역구,초선,대한독립촉성국민회,,100001,남,제헌,RUW9318Z,제헌,전북 임실
음,陳憲植,진헌식,1902-02-09,지역구,초선,대한독립촉성국민회,,100001,남,제헌,VA69591N,제헌,충남 연기
음,車庚模,차경모,1991-00-00,지역구,초선,무소속,,100001,남,제헌,MMB6113P,제헌,전남 강진
음,崔國鉉,최국현,1899-05-15,지역구,재선,무소속,,100001,남,제헌,WVK51145,"제헌, 제2대",경기 고양을
음,崔圭鈺,최규옥,1901-02-26,지역구,재선,대한독립촉성국민회,,100001,남,제헌,SCR9592A,"제헌, 제4대",강원 춘천
음,崔凡述,최범술,1904-05-26,지역구,초선,무소속,,100001,남,제헌,3058965I,제헌,경남 사천
음,崔奉植,최봉식,1892-06-12,지역구,초선,무소속,,100001,남,제헌,LMH5323M,제헌,경남 울산갑
음,崔錫洪,최석홍,1909-02-12,지역구,초선,대동청년당,,100001,남,제헌,9FB9768K,제헌,경북 영주
음,崔錫和,최석화,1912-05-09,지역구,초선,무소속,,100001,남,제헌,ZRS60408,제헌,경기 평택
음,崔雲敎,최운교,1900-09-19,지역구,초선,무소속,,100001,남,제헌,UE734287,제헌,충남 논산을
음,崔允東,최윤동,1897-07-03,지역구,초선,한국민주당,,100001,남,제헌,Q303455S,제헌,경북 대구갑
음,崔昌燮,최창섭,1899-04-29,지역구,3선,무소속,,100001,남,제헌,0RV56457,"제헌, 제3대, 제4대",경남 합천을
음,崔泰奎,최태규,1920-03-20,지역구,초선,무소속,,100001,남,제헌,CNN8306C,제헌,강원 정선
음,崔獻吉,최헌길,1901-02-19,지역구,재선,대한독립촉성국민회,,100001,남,제헌,LF11072P,"제헌, 제2대",강원 강릉을
음,表鉉台,표현태,1903-09-04,지역구,초선,대한독립촉성국민회,,100001,남,제헌,2I01723P,제헌,경남 거창
음,韓錫範,한석범,1897-08-26,지역구,초선,한국민주당,,100001,남,제헌,J0V85648,제헌,경남 부산병
음,韓巖回,한암회,1900-07-17,지역구,초선,대한독립촉성국민회,,100001,남,제헌,SM59065J,제헌,경북 상주갑
음,許永鎬,허영호,1900-12-21,지역구,초선,무소속,,100001,남,제헌,TR27951X,제헌,경남 부산갑
음,許政,허정,1896-04-03,지역구,초선,한국민주당,,100001,남,제헌,YKE68574,제헌,경남 부산을
음,洪吉善,홍길선,1904-07-01,지역구,4선,대동청년당,,100001,남,제헌,MZO9983Y,"제헌, 제2대, 제4대, 제5대",경기 수원갑
음,洪範熹,홍범희,1917-06-08,지역구,재선,무소속,,100001,남,제헌,XT83880A,"제헌, 제4대",강원 원주
음,洪性夏,홍성하,1898-01-15,지역구,초선,한국민주당,,100001,남,제헌,MIS43208,제헌,서울 동대문구갑
음,洪淳寧,홍순영,1967-00-00,지역구,초선,대한독립촉성국민회,,100001,남,제헌,U2K40692,제헌,제주 북제주갑
음,洪淳玉,홍순옥,1895-03-19,지역구,초선,무소속,,100001,남,제헌,PAP3998U,제헌,경남 창원갑
음,洪翼杓,홍익표,1910-01-24,지역구,6선,무소속,,100001,남,제헌,3AA37867,"제헌, 제2대, 제4대, 제5대, 제6대, 제8대",경기 가평
음,洪熺鍾,홍희종,1894-02-25,지역구,초선,조선민족청년단,,100001,남,제헌,FWG2650O,제헌,전북 김제을
음,黃斗淵,황두연,1905-02-15,지역구,초선,대한독립촉성농민총연맹,,100001,남,제헌,2ZT7284L,제헌,전남 순천갑
음,黃炳珪,황병규,1907-10-30,지역구,재선,무소속,,100001,남,제헌,HHZ7403J,"제헌, 제2대",전남 여수을
음,黃潤鎬,황윤호,1913-00-00,지역구,초선,무소속,,100001,남,제헌,MHG8587E,제헌,경남 진양
음,黃虎鉉,황호현,1911-03-22,지역구,3선,대한독립촉성국민회,,100001,남,제헌,4IR7382A,"제헌, 제4대, 제6대",강원 평창
음,康慶玉,강경옥,1907-11-11,지역구,3선,무소속,,100002,남,제2대,85N15546,"제2대, 제3대, 제5대",제주 남제주군
음,姜昌瑢,강창용,1914-  -  ,지역구,초선,무소속,,100002,남,제2대,IQD1365G,제2대,제주 북제주을
음,高永完,고영완,1914-02-11,지역구,재선,민주국민당,,100002,남,제2대,1KR3234U,"제2대, 제5대",전남 장흥군
음,郭尙勳,곽상훈,1896-10-21,지역구,5선,무소속,,100002,남,제2대,7GP9235Q,"제헌, 제2대, 제3대, 제4대, 제5대",경기 인천시을
음,郭義榮,곽의영,1911-06-28,지역구,3선,무소속,,100002,남,제2대,V8A6249O,"제2대, 제3대, 제4대",충북 청원군을
음,郭泰珍,곽태진,1917-05-18,지역구,재선,민주국민당,,100002,남,제2대,AT193722,"제2대, 제5대",경북 고령군
음,丘德煥,구덕환,1997-  -  ,지역구,초선,대한독립촉성국민회,,100002,남,제2대,SHE5364I,제2대,충남 서천
음,具乙會,구을회,1885-05-09,지역구,초선,무소속,,100002,남,제2대,4JB9065G,제2대,충남 당진
음,權炳魯,권병노,1903-05-14,지역구,재선,일민국락부,,100002,남,제2대,KB12672B,"제헌, 제2대",경북 의성을
